Putt,Distance,Result
1,2,0
2,2,1
3,2,1
4,2,0
5,2,1
6,2,1
7,2,0
8,2,0
9,2,1
10,2,1
11,2,0
12,2,1
13,2,1
14,2,1
15,2,0
16,2,0
17,2,1
18,2,1
19,2,1
20,2,0
21,2,0
22,2,1
23,2,1
24,2,1
25,2,0
26,2,0
27,2,1
28,2,1
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,1
35,2,0
36,2,0
37,2,1
38,2,0
39,2,0
40,2,0
41,2,1
42,2,1
43,2,1
44,2,0
45,2,1
46,2,0
47,2,1
48,2,0
49,2,0
50,2,0
1,3,0
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,3,0
8,3,0
9,3,1
10,3,0
11,3,1
12,3,0
13,3,0
14,3,0
15,3,1
16,3,1
17,3,0
18,3,1
19,3,0
20,3,0
21,3,1
22,3,0
23,3,1
24,3,1
25,3,1
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,3,0
32,3,1
33,3,0
34,3,1
35,3,1
36,3,1
37,3,0
38,3,0
39,3,0
40,3,1
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,1
48,3,0
49,3,0
50,3,0
1,4,0
2,4,1
3,4,1
4,4,1
5,4,1
6,4,1
7,4,1
8,4,0
9,4,1
10,4,1
11,4,1
12,4,0
13,4,0
14,4,1
15,4,1
16,4,1
17,4,1
18,4,1
19,4,1
20,4,1
21,4,1
22,4,1
23,4,0
24,4,0
25,4,1
26,4,0
27,4,0
28,4,0
29,4,0
30,4,1
31,4,0
32,4,0
33,4,0
34,4,0
35,4,0
36,4,0
37,4,1
38,4,0
39,4,1
40,4,0
41,4,1
42,4,0
43,4,0
44,4,1
45,4,1
46,4,0
47,4,0
48,4,0
49,4,0
50,4,0
1,5,0
2,5,0
3,5,0
4,5,1
5,5,0
6,5,0
7,5,1
8,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
14,5,0
15,5,1
16,5,1
17,5,1
18,5,1
19,5,1
20,5,1
21,5,1
22,5,1
23,5,0
24,5,1
25,5,1
26,5,1
27,5,0
28,5,0
29,5,1
30,5,1
31,5,0
32,5,0
33,5,0
34,5,0
35,5,0
36,5,0
37,5,1
38,5,1
39,5,1
40,5,0
41,5,0
42,5,0
43,5,1
44,5,0
45,5,0
46,5,0
47,5,0
48,5,0
49,5,1
50,5,0
1,6,0
2,6,1
3,6,1
4,6,1
5,6,0
6,6,0
7,6,1
8,6,0
9,6,1
10,6,1
11,6,1
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,1
20,6,0
21,6,1
22,6,1
23,6,0
24,6,1
25,6,0
26,6,1
27,6,1
28,6,1
29,6,1
30,6,1
31,6,1
32,6,0
33,6,0
34,6,1
35,6,1
36,6,1
37,6,0
38,6,1
39,6,1
40,6,1
41,6,1
42,6,1
43,6,1
44,6,0
45,6,0
46,6,0
47,6,0
48,6,0
49,6,0
50,6,1
